EEID,First Name,Last Name,Gender,Age,Job Title,Department,Business Unit,Ethnicity,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E02387,Emily,Davis,Female,55,Sr. Manger,IT,Research & Development,Black,08/04/2016,"$141,604 ",15% ,United States,Seattle,16/10/2021
E04105,Theodore,Dinh,Male,59,Technical Architect,IT,Manufacturing,Asian,29/11/1997,"$99,975 ",0% ,China,Chongqing,
E02572,Luna,Sanders,Female,50,Director,Finance,Speciality Products,Caucasian,26/10/2006,"$163,099 ",20% ,United States,Chicago,
E02832,Penelope,Jordan,Female,26,Computer Systems Manager,IT,Manufacturing,Caucasian,27/09/2019,"$84,913 ",7% ,United States,Chicago,
E01639,Austin,Vo,Male,55,Sr. Analyst,Finance,Manufacturing,Asian,20/11/1995,"$95,409 ",0% ,United States,Phoenix,
E00644,Joshua,Gupta,Male,57,Account Representative,Sales,Corporate,Asian,24/01/2017,"$50,994 ",0% ,China,Chongqing,
E01550,Ruby,Barnes,Female,27,Manager,IT,Corporate,Caucasian,01/07/2020,"$119,746 ",10% ,United States,Phoenix,
E04332,Luke,Martin,Male,25,Analyst,Finance,Manufacturing,Black,16/05/2020,"$41,336 ",0% ,United States,Miami,20/05/2021
E04533,Easton,Bailey,Male,29,Manager,Accounting,Manufacturing,Caucasian,25/01/2019,"$113,527 ",6% ,United States,Austin,
E03838,Madeline,Walker,Female,34,Sr. Analyst,Finance,Speciality Products,Caucasian,13/06/2018,"$77,203 ",0% ,United States,Chicago,
E00591,Savannah,Ali,Female,36,Sr. Manger,Human Resources,Manufacturing,Asian,11/02/2009,"$157,333 ",15% ,United States,Miami,
E03344,Camila,Rogers,Female,27,Controls Engineer,Engineering,Speciality Products,Caucasian,21/10/2021,"$109,851 ",0% ,United States,Seattle,
E00530,Eli,Jones,Male,59,Manager,Human Resources,Manufacturing,Caucasian,14/03/1999,"$105,086 ",9% ,United States,Austin,
E04239,Everleigh,Ng,Female,51,Sr. Manger,Finance,Research & Development,Asian,10/06/2021,"$146,742 ",10% ,China,Shanghai,
E03496,Robert,Yang,Male,31,Sr. Analyst,Accounting,Speciality Products,Asian,04/11/2017,"$97,078 ",0% ,United States,Austin,09/03/2020
E00549,Isabella,Xi,Female,41,Vice President,Marketing,Research & Development,Asian,13/03/2013,"$249,270 ",30% ,United States,Seattle,
E00163,Bella,Powell,Female,65,Director,Finance,Research & Development,Black,04/03/2002,"$175,837 ",20% ,United States,Phoenix,
E00884,Camila,Silva,Female,64,Sr. Manger,Marketing,Speciality Products,Latino,01/12/2003,"$154,828 ",13% ,United States,Seattle,
E04116,David,Barnes,Male,64,Director,IT,Corporate,Caucasian,03/11/2013,"$186,503 ",24% ,United States,Columbus,
E04625,Adam,Dang,Male,45,Director,Sales,Research & Development,Asian,09/07/2002,"$166,331 ",18% ,China,Chongqing,
E03680,Elias,Alvarado,Male,56,Sr. Manger,IT,Manufacturing,Latino,09/01/2012,"$146,140 ",10% ,Brazil,Manaus,
E04732,Eva,Rivera,Female,36,Director,Sales,Manufacturing,Latino,02/04/2021,"$151,703 ",21% ,United States,Miami,
E03484,Logan,Rivera,Male,59,Director,IT,Research & Development,Latino,24/05/2002,"$172,787 ",28% ,Brazil,Rio de Janerio,
E00671,Leonardo,Dixon,Male,37,Analyst,Sales,Speciality Products,Caucasian,05/09/2019,"$49,998 ",0% ,United States,Seattle,
E02071,Mateo,Her,Male,44,Vice President,Sales,Speciality Products,Asian,02/03/2014,"$207,172 ",31% ,China,Chongqing,
E02206,Jose,Henderson,Male,41,Director,Human Resources,Speciality Products,Black,17/04/2015,"$152,239 ",23% ,United States,Columbus,
E04545,Abigail,Mejia,Female,56,Quality Engineer,Engineering,Corporate,Latino,05/02/2005,"$98,581 ",0% ,Brazil,Rio de Janerio,
E00154,Wyatt,Chin,Male,43,Vice President,Engineering,Speciality Products,Asian,07/06/2004,"$246,231 ",31% ,United States,Seattle,
E03343,Carson,Lu,Male,64,Engineering Manager,Engineering,Speciality Products,Asian,04/12/1996,"$99,354 ",12% ,China,Beijing,
E00304,Dylan,Choi,Male,63,Vice President,IT,Corporate,Asian,11/05/2012,"$231,141 ",34% ,China,Beijing,
E02594,Ezekiel,Kumar,Male,28,IT Coordinator,IT,Research & Development,Asian,25/06/2017,"$54,775 ",0% ,United States,Columbus,
E00402,Dominic,Guzman,Male,65,Analyst,Finance,Manufacturing,Latino,16/05/2004,"$55,499 ",0% ,Brazil,Manaus,
E01994,Angel,Powell,Male,61,Analyst II,Sales,Research & Development,Caucasian,11/07/2008,"$66,521 ",0% ,United States,Seattle,
E03549,Mateo,Vu,Male,30,Account Representative,Sales,Speciality Products,Asian,29/09/2016,"$59,100 ",0% ,China,Chongqing,
E03247,Caroline,Jenkins,Female,27,Analyst,Finance,Research & Development,Caucasian,06/05/2018,"$49,011 ",0% ,United States,Chicago,
E02074,Nora,Brown,Female,32,Enterprise Architect,IT,Manufacturing,Caucasian,11/02/2014,"$99,575 ",0% ,United States,Austin,
E04152,Adeline,Huang,Female,34,Controls Engineer,Engineering,Manufacturing,Asian,16/12/2019,"$99,989 ",0% ,China,Chengdu,
E01628,Jackson,Perry,Male,27,Vice President,Marketing,Research & Development,Caucasian,20/10/2019,"$256,420 ",30% ,United States,Phoenix,
E04285,Riley,Padilla,Female,35,Technical Architect,IT,Manufacturing,Latino,15/05/2013,"$78,940 ",0% ,United States,Miami,
E01417,Leah,Pena,Female,57,Enterprise Architect,IT,Corporate,Latino,03/01/1994,"$82,872 ",0% ,Brazil,Manaus,
E01754,Owen,Lam,Male,30,Sr. Business Partner,Human Resources,Speciality Products,Asian,29/05/2017,"$86,317 ",0% ,China,Chengdu,16/07/2017
E03749,Kennedy,Foster,Female,53,Manager,Marketing,Speciality Products,Caucasian,23/11/2013,"$113,135 ",5% ,United States,Austin,
E03574,John,Moore,Male,52,Vice President,IT,Speciality Products,Caucasian,08/11/2005,"$199,808 ",32% ,United States,Seattle,
E04600,William,Vu,Male,37,Account Representative,Sales,Speciality Products,Asian,14/11/2013,"$56,037 ",0% ,China,Shanghai,
E00586,Sadie,Washington,Female,29,Sr. Manger,Marketing,Research & Development,Caucasian,24/05/2019,"$122,350 ",12% ,United States,Phoenix,
E03538,Gabriel,Holmes,Male,40,Enterprise Architect,IT,Research & Development,Caucasian,04/11/2010,"$92,952 ",0% ,United States,Seattle,
E02185,Wyatt,Rojas,Male,32,Computer Systems Manager,IT,Corporate,Latino,20/03/2013,"$79,921 ",5% ,United States,Austin,
E03830,Eva,Coleman,Female,37,Director,IT,Research & Development,Black,20/09/2009,"$167,199 ",20% ,United States,Seattle,
E03720,Dominic,Clark,Male,52,Quality Engineer,Engineering,Research & Development,Caucasian,17/10/2012,"$71,476 ",0% ,United States,Phoenix,
E03025,Lucy,Alexander,Female,45,Director,Engineering,Manufacturing,Caucasian,29/10/2014,"$189,420 ",20% ,United States,Seattle,
E04917,Everleigh,Washington,Female,64,HRIS Analyst,Human Resources,Research & Development,Caucasian,20/10/2001,"$64,057 ",0% ,United States,Phoenix,
E00415,Leilani,Butler,Female,27,Analyst II,Marketing,Manufacturing,Black,21/09/2021,"$68,728 ",0% ,United States,Phoenix,
